,Film,Pan,Tilt,Pan w. Tilt,Track,Track w. Pan & tilt,Crane,Zoom,Zoom w. Pan & Tilt,BCU,Total,MCU,MS,MLS,LS,VLS,INS,POV,ASL,RA,CU,BERGMAN,Synth
0,NON_BERGMAN_a,48,10,14,5,5,4,9,4,19,99,63,103,60,106,49,6,6,3.1184884381251585,35,103,0.0,1
1,NON_BERGMAN_b,32,0,5,9,10,5,6,0,75,67,49,64,69,46,17,3,2,9.592118125627382,20,140,0.0,1
2,NON_BERGMAN_c,50,4,19,16,45,3,1,0,26,138,53,108,117,105,23,8,6,19.546858364048212,13,80,0.0,1
3,NON_BERGMAN_d,12,10,21,20,10,11,3,2,133,89,46,63,57,44,7,17,8,5.024535002858318,29,145,0.0,1
4,NON_BERGMAN_e,32,4,16,51,68,8,15,1,24,195,110,58,61,55,17,12,9,13.49427199397485,38,189,0.0,1
5,NON_BERGMAN_f,9,1,17,5,16,5,2,1,9,56,94,105,78,93,15,11,9,10.628104736643147,50,73,0.0,1
6,NON_BERGMAN_g,66,1,14,31,39,8,12,0,7,171,87,74,96,152,38,2,1,15.643426291753844,6,54,0.0,1
7,NON_BERGMAN_h,8,6,17,6,14,5,3,2,9,61,96,74,37,142,18,2,3,7.823822203027113,26,97,0.0,1
8,NON_BERGMAN_i,43,8,19,4,33,5,0,1,23,113,54,123,69,128,14,2,2,11.747810538456507,6,25,0.0,1
9,NON_BERGMAN_j,59,9,39,5,14,9,1,1,97,137,54,69,86,39,9,5,0,12.891458311388392,2,38,0.0,1
10,NON_BERGMAN_k,61,11,7,30,34,7,7,1,28,158,118,69,141,111,30,12,17,8.820046102320426,36,36,0.0,1
11,NON_BERGMAN_l,73,8,2,3,3,6,4,2,14,101,64,79,104,77,16,5,7,6.471059779674963,28,122,0.0,1
12,NON_BERGMAN_m,44,0,13,22,59,5,2,2,17,147,115,80,106,82,7,7,11,14.83154309985587,43,67,0.0,1
13,NON_BERGMAN_n,30,8,25,11,3,3,0,1,70,81,82,45,86,72,6,9,6,3.0934699729003174,26,144,0.0,1
14,NON_BERGMAN_o,32,9,5,20,13,1,10,5,96,95,45,37,42,105,10,10,6,3.4694799399172016,21,215,0.0,1
15,NON_BERGMAN_p,24,7,14,36,31,6,0,0,30,118,75,91,108,124,16,11,6,9.264364954320662,20,39,0.0,1
16,NON_BERGMAN_q,69,1,2,4,18,12,5,0,51,111,73,49,79,99,5,10,17,7.3935263948233825,33,63,0.0,1
17,NON_BERGMAN_r,23,7,4,8,21,15,10,1,15,89,115,97,73,43,8,2,4,6.708524735708667,24,176,0.0,1
18,NON_BERGMAN_s,5,8,24,6,14,15,7,2,73,81,61,45,49,75,44,6,3,12.236632499391224,30,28,0.0,1
19,NON_BERGMAN_t,55,14,22,27,41,7,2,2,10,170,49,136,100,140,42,10,6,12.105249560783324,8,43,0.0,1
20,NON_BERGMAN_u,46,4,20,28,2,9,11,4,75,124,77,38,67,97,24,9,6,3.2130687623498186,46,103,0.0,1
21,NON_BERGMAN_v,77,1,6,19,21,3,3,3,41,133,51,97,128,126,8,9,7,5.536846444299699,16,93,0.0,1
22,NON_BERGMAN_w,15,5,9,19,24,16,6,1,115,95,44,39,76,91,16,2,0,6.385307532261566,9,46,0.0,1
23,NON_BERGMAN_x,29,6,12,29,49,9,13,1,64,148,78,61,71,85,37,7,6,9.634578884130704,28,64,0.0,1
24,NON_BERGMAN_y,14,2,4,6,12,9,2,0,20,49,94,81,82,68,3,4,3,9.996894166773107,33,91,0.0,1
25,NON_BERGMAN_z,62,1,6,27,45,4,3,1,28,149,50,94,109,96,10,7,5,18.453370696342002,27,123,0.0,1
26,NON_BERGMAN_A,30,0,10,25,4,6,9,1,71,85,70,59,44,73,22,8,10,4.688973466932144,44,148,0.0,1
27,NON_BERGMAN_B,19,8,33,4,24,12,20,3,118,123,90,32,39,49,16,4,3,8.48735865559176,23,125,0.0,1
28,NON_BERGMAN_C,37,2,28,42,24,2,5,1,12,141,73,104,106,161,39,2,1,12.878748643909837,20,74,0.0,1
29,NON_BERGMAN_D,32,7,32,21,27,22,0,1,7,142,88,82,86,118,20,5,4,17.026158706318817,19,72,0.0,1
30,NON_BERGMAN_E,9,12,9,6,8,7,1,3,23,55,105,93,110,116,3,7,10,3.414905555268028,46,179,0.0,1
31,NON_BERGMAN_F,23,2,15,55,33,11,4,1,21,144,109,123,113,120,23,2,4,9.583811617682215,41,133,0.0,1
32,NON_BERGMAN_G,45,5,36,15,28,6,3,2,66,140,70,57,82,78,39,6,2,8.87768833307744,23,34,0.0,1
33,NON_BERGMAN_H,25,13,32,12,2,8,10,2,52,104,71,55,48,105,33,5,4,4.790309927510291,23,158,0.0,1
34,NON_BERGMAN_I,12,13,21,7,45,19,9,4,31,130,90,66,80,62,9,9,10,10.089157715511842,51,126,0.0,1
35,NON_BERGMAN_J,16,11,40,3,17,2,1,2,25,92,85,68,71,61,17,3,2,10.697195428472593,37,63,0.0,1
36,NON_BERGMAN_K,18,6,32,19,23,0,0,1,131,99,92,41,64,65,1,14,8,8.99101859544622,55,124,0.0,1
37,NON_BERGMAN_L,34,3,9,27,20,8,3,0,45,104,77,113,82,69,8,2,3,11.41536147897733,22,117,0.0,1
38,NON_BERGMAN_M,41,1,32,5,64,7,5,4,43,159,88,65,112,61,0,9,18,15.096726755005545,56,127,0.0,1
39,NON_BERGMAN_N,8,8,33,43,17,3,2,2,113,116,56,56,35,120,28,19,11,6.061742756367193,51,118,0.0,1
40,NON_BERGMAN_O,27,10,17,3,25,1,3,3,85,89,57,64,67,36,6,12,10,8.92191343113273,40,134,0.0,1
41,NON_BERGMAN_P,99,3,30,19,24,1,2,3,18,181,85,95,72,77,12,10,12,7.798854407506717,40,126,0.0,1
42,NON_BERGMAN_Q,57,3,21,45,52,1,2,2,1,183,71,152,144,190,54,1,1,15.811471538179267,4,24,0.0,1
43,NON_BERGMAN_R,47,7,24,10,29,20,5,1,16,143,53,76,85,85,23,2,2,12.544063010667655,8,44,0.0,1
44,NON_BERGMAN_S,18,5,7,35,22,8,5,1,41,101,78,102,94,122,21,6,3,8.169723855722022,18,72,0.0,1
45,NON_BERGMAN_T,13,9,15,15,6,6,3,1,89,68,82,36,51,105,10,11,5,4.871333481788093,52,121,0.0,1
46,NON_BERGMAN_U,40,7,30,12,16,14,3,1,23,123,57,89,62,85,32,1,2,12.193718573554987,11,47,0.0,1
47,NON_BERGMAN_V,19,5,15,21,14,9,11,2,58,96,89,70,34,68,4,13,9,4.042103860855933,41,122,0.0,1
48,NON_BERGMAN_W,38,1,1,36,40,2,9,0,90,127,44,108,94,29,9,2,1,8.981643215424576,16,162,0.0,1
49,NON_BERGMAN_X,26,4,1,16,2,15,9,1,60,74,91,43,50,75,14,6,10,2.5999911223996652,26,133,0.0,1
50,NON_BERGMAN_Y,78,10,20,35,25,12,7,1,23,188,44,105,89,154,69,3,0,12.618990765680191,1,17,0.0,1
51,NON_BERGMAN_Z,8,4,2,17,3,5,9,2,71,50,122,74,27,52,16,8,8,2.7871323600828806,50,204,0.0,1
52,NON_BERGMAN_aa,30,2,27,31,34,7,8,3,27,142,53,56,83,164,31,2,0,9.591998791006528,14,33,0.0,1
53,NON_BERGMAN_ab,18,10,4,26,27,3,1,0,58,89,116,43,39,89,1,19,15,8.920870388527938,53,214,0.0,1
54,NON_BERGMAN_ac,54,11,49,18,24,2,0,1,15,159,86,136,142,166,11,15,5,7.8882558391124595,22,33,0.0,1
55,NON_BERGMAN_ad,40,16,5,11,9,10,3,1,18,95,93,109,108,86,24,5,5,10.582152791637425,9,56,0.0,1
56,NON_BERGMAN_ae,12,5,15,12,39,3,8,2,47,96,55,48,53,120,21,21,19,7.996317216026451,59,43,0.0,1
57,NON_BERGMAN_af,32,9,8,3,38,1,6,6,94,103,97,54,44,34,1,16,21,8.557216224802142,65,178,0.0,1
58,NON_BERGMAN_ag,25,6,18,17,28,3,2,1,12,100,69,83,75,180,38,4,4,11.628021159168439,15,40,0.0,1
59,NON_BERGMAN_ah,9,15,29,20,42,3,8,1,100,127,94,65,37,25,8,21,10,6.618500723198066,50,183,0.0,1
60,NON_BERGMAN_ai,18,13,29,23,11,0,4,3,29,101,77,99,109,134,21,10,5,7.522375280348484,50,105,0.0,1
61,NON_BERGMAN_aj,19,6,11,26,11,4,7,1,70,85,71,64,29,87,5,11,9,5.1677125996821704,58,217,0.0,1
62,NON_BERGMAN_ak,11,12,12,27,6,16,9,1,59,94,93,66,46,84,10,18,14,3.4999080319286735,46,199,0.0,1
63,NON_BERGMAN_al,2,19,33,17,2,10,8,1,79,92,74,56,57,35,13,7,4,3.659118536540716,33,207,0.0,1
64,NON_BERGMAN_am,40,3,21,6,2,10,1,2,46,85,65,69,63,116,17,13,10,5.077080738199848,35,91,0.0,1
65,NON_BERGMAN_an,47,7,2,18,29,5,6,2,52,116,85,71,47,88,24,4,3,12.304915763875346,16,81,0.0,1
66,NON_BERGMAN_ao,27,4,14,12,30,9,14,1,43,111,67,76,76,89,30,5,1,10.260488341014248,10,63,0.0,1
67,NON_BERGMAN_ap,21,17,19,22,3,5,2,2,50,91,52,116,46,121,12,9,2,5.629291884629922,44,118,0.0,1
68,NON_BERGMAN_aq,61,5,28,4,44,3,3,3,24,151,62,102,99,72,7,6,14,14.173435170856035,40,62,0.0,1
69,NON_BERGMAN_ar,8,4,20,5,1,7,7,4,85,56,110,36,34,51,5,12,10,3.5801360234741306,62,208,0.0,1
70,NON_BERGMAN_as,35,3,21,9,32,5,16,2,70,123,70,56,43,63,21,18,12,13.413306828625114,58,172,0.0,1
71,NON_BERGMAN_at,59,10,30,27,19,1,4,2,9,152,56,125,102,184,36,1,2,11.821391155945214,13,32,0.0,1
72,NON_BERGMAN_au,15,19,30,45,17,7,11,0,72,144,89,72,30,67,19,19,15,8.648652302195444,42,185,0.0,1
73,NON_BERGMAN_av,21,4,0,50,38,17,13,0,18,143,74,99,104,99,47,0,1,12.847435081186042,11,94,0.0,1
0,BERGMAN_a,18,7,25,36,13,1,0,1,80,101,41,70,55,70,13,7,3,12.275056744694671,54,129,1.0,1
1,BERGMAN_b,25,11,33,21,32,2,2,6,228,132,77,40,35,106,11,9,4,24.83283312095459,35,79,1.0,1
2,BERGMAN_c,40,14,51,8,18,3,3,5,229,142,44,35,20,72,5,17,2,16.419682966025107,19,111,1.0,1
3,BERGMAN_d,25,7,20,11,22,2,3,7,158,97,79,76,41,88,5,5,2,20.274906867754353,47,96,1.0,1
4,BERGMAN_e,61,6,20,20,49,3,3,3,61,165,86,103,61,69,6,7,1,22.99127810448764,42,88,1.0,1
5,BERGMAN_f,42,2,18,28,24,2,1,0,35,117,98,99,58,85,9,5,1,10.72506667771726,53,121,1.0,1
6,BERGMAN_g,30,4,30,4,30,2,2,5,154,107,97,68,46,59,15,5,4,10.270750265886122,56,132,1.0,1
7,BERGMAN_h,37,12,51,20,18,1,5,4,104,148,114,89,56,76,9,10,0,19.38153902047214,31,81,1.0,1
8,BERGMAN_i,37,7,32,30,41,0,2,3,101,152,72,48,29,67,22,20,5,22.83522845700388,19,132,1.0,1
9,BERGMAN_j,49,5,44,24,35,1,1,2,74,161,75,54,27,89,31,13,7,12.75932438909832,40,146,1.0,1
10,BERGMAN_k,28,5,35,6,24,3,3,4,153,108,100,64,42,54,13,5,2,17.94442742176578,54,108,1.0,1
11,BERGMAN_l,27,6,25,11,18,3,3,5,189,98,64,21,31,65,19,11,8,15.675006507292618,29,94,1.0,1
12,BERGMAN_m,28,6,42,5,23,7,1,4,82,116,129,111,61,49,7,5,3,9.95643068101646,58,108,1.0,1
13,BERGMAN_n,28,3,16,5,15,3,3,5,103,78,69,47,46,47,16,9,4,21.216332409253425,29,111,1.0,1
14,BERGMAN_o,54,9,30,20,62,0,3,6,155,184,84,75,58,79,24,12,3,15.980470890206117,45,79,1.0,1
15,BERGMAN_p,24,13,38,6,9,7,3,7,248,107,40,49,14,43,2,8,2,15.53380043072095,37,134,1.0,1
16,BERGMAN_q,51,10,32,7,52,4,2,4,156,162,102,43,17,60,21,10,8,15.439410629112404,42,187,1.0,1
17,BERGMAN_r,37,10,44,22,35,0,3,5,124,156,118,64,40,78,5,13,5,10.80219598900053,52,88,1.0,1
18,BERGMAN_s,41,4,29,11,20,5,1,5,227,116,30,34,32,57,13,9,4,11.863575521933043,31,95,1.0,1
19,BERGMAN_t,48,7,21,34,19,0,2,2,79,133,97,59,29,73,8,10,3,12.022702083953105,43,147,1.0,1
20,BERGMAN_u,47,3,40,4,42,3,3,3,34,145,144,112,49,56,10,6,1,9.796033969234614,50,161,1.0,1
0,Deep Blue Sea,14,7,8,27,9,7,2,0,140,74,56,46,51,94,9,23,10,2.6,24,106,0.0,0
1,Verboten!,35,7,19,19,22,12,2,0,56,116,64,53,68,155,28,13,20,10.7,22,77,0.0,0
2,"Reckless Moment, The",92,2,21,24,62,11,3,0,22,215,76,118,86,113,49,0,0,15.5,0,37,0.0,0
3,Kris,30,3,13,43,70,0,0,0,30,159,93,105,55,128,10,9,1,27.2,17,80,1.0,0
4,Shadows,55,4,11,2,2,2,0,0,122,76,78,50,46,22,0,1,1,7.1,31,182,0.0,0
5,Eva,56,9,37,6,48,0,0,0,30,156,63,114,63,102,29,11,4,15.5,30,98,0.0,0
6,SLC Punk!,11,6,13,31,10,11,10,0,64,92,107,61,51,49,9,7,3,4.2,38,159,0.0,0
7,Driller Killer,27,10,25,13,26,0,14,3,154,118,77,61,48,34,3,19,15,6.6,31,122,0.0,0
8,Yoshiwara,28,6,6,27,10,4,2,0,28,83,80,87,80,133,56,0,0,9.0,31,34,0.0,0
9,Sommarnattens leende,58,2,16,26,35,0,1,0,20,138,121,103,53,52,19,8,3,16.0,40,132,1.0,0
10,Man on the Moon,25,2,7,6,7,2,2,0,32,51,112,44,58,56,1,4,18,3.9,46,195,0.0,0
11,North by North-West,20,3,8,29,18,4,3,1,12,86,98,98,79,101,33,9,24,6.3,53,89,0.0,0
12,Kvinnodröm,48,6,20,9,28,0,0,2,86,113,102,73,38,47,8,23,10,16.1,48,145,1.0,0
13,Nancy Drew… Reporter,56,4,13,15,39,0,0,0,7,127,116,98,87,81,5,4,10,6.6,42,107,0.0,0
14,In Old Caliente,69,4,21,37,7,0,0,0,2,138,65,77,92,208,20,2,4,6.2,15,36,0.0,0
15,Hometown U.S.A.,44,12,10,34,11,0,2,0,32,113,102,50,40,75,3,5,7,4.9,36,198,0.0,0
16,Smultronstället,26,3,22,30,17,0,0,0,36,98,128,65,39,97,12,12,7,9.3,49,123,1.0,0
17,On the Beach,31,4,20,36,24,28,18,0,38,161,81,70,41,91,41,14,14,18.4,27,139,0.0,0
18,Tourist Trap,14,5,12,7,11,2,0,0,69,51,98,78,48,76,2,22,15,5.4,47,130,0.0,0
19,Pillow Talk,21,6,6,23,47,9,2,0,8,114,109,82,87,44,7,9,7,9.5,35,162,0.0,0
20,"Champ, The",31,13,35,17,34,7,16,10,54,163,70,46,47,80,8,5,10,7.2,48,195,0.0,0
21,Letter from an Unknown Woman,67,2,14,22,59,10,10,0,16,184,71,116,116,108,24,0,0,16.0,0,50,0.0,0
22,"verliebte Firma, die",27,1,6,5,4,4,0,0,8,47,51,132,86,148,46,0,0,10.0,0,28,0.0,0
23,"Small Back Room, The",6,10,13,8,10,1,0,0,80,48,68,60,56,61,1,9,6,8.9,31,173,0.0,0
24,Secret People,7,20,23,31,18,1,0,0,38,100,81,83,72,90,6,12,9,9.0,32,129,0.0,0
25,"Great Santini, The",31,7,24,13,17,1,1,1,19,95,82,70,68,91,22,6,11,5.4,50,149,0.0,0
26,En lektion I kärlek,67,8,46,32,40,0,2,0,29,195,176,67,38,74,19,13,3,23.7,28,97,1.0,0
27,At the Circus,43,13,16,16,16,2,0,0,13,106,63,98,119,166,10,6,6,7.6,16,31,0.0,0
28,Detroit Rock City,14,8,15,27,10,13,2,7,69,96,63,53,66,79,5,11,5,2.2,25,164,0.0,0
29,Wuthering Heights,41,7,19,13,21,7,0,0,16,108,62,77,80,171,5,4,3,10.8,36,89,0.0,0
30,Men of Two Worlds,4,20,44,24,19,7,0,0,28,118,81,99,85,97,9,9,4,9.4,24,100,0.0,0
31,H.O.T.S.,26,16,23,12,18,1,12,7,17,115,99,101,85,110,9,12,8,5.3,28,78,0.0,0
32,Jakob the Liar,18,6,17,24,32,15,3,0,32,115,76,65,81,88,1,4,10,5.7,37,154,0.0,0
33,Komedie om Geld,17,1,10,25,15,16,1,0,25,85,69,99,81,127,61,0,0,12.0,19,36,0.0,0
34,Sommarlek,47,3,45,13,38,4,0,0,79,150,78,54,64,122,24,11,3,15.8,26,78,1.0,0
35,Three to Tango,8,2,7,15,8,6,2,0,83,48,102,42,47,31,6,6,5,3.7,61,189,0.0,0
36,Gyklarnas afton,46,13,34,34,44,0,0,0,44,171,93,81,49,126,21,12,2,16.0,24,84,1.0,0
37,"Black Stallion, The",65,10,46,46,17,2,1,0,85,187,66,47,46,128,17,30,14,4.9,27,111,0.0,0
38,Tower of London,22,7,10,12,16,4,0,0,21,71,70,93,91,142,8,4,2,6.6,19,76,0.0,0
39,French Postcards,25,14,27,7,17,0,4,4,22,98,114,72,55,77,5,3,7,6.7,50,155,0.0,0
40,Ich bei Tag und Du bei Nacht,34,9,28,33,49,29,1,0,16,183,94,145,106,72,24,0,0,13.0,0,39,0.0,0
41,"verkaufte Braut, die",41,2,5,14,7,5,1,0,6,75,61,103,105,113,53,0,0,8.0,0,21,0.0,0
